	X09_3S_N_C_1	X09_1S_H_C_1	X09_23S_N_C_1	X09_10S_H_C_1	X09_19S_N_C_1	X09_20S_H_C_1	X09_6S_N_C_1	X09_16S_H_C_1	X10_6N_N_N_1	X10_23N_N_N_1	X10_16N_H_N_1	X10_1N_H_N_1	X10_20N_H_N_1	X10_3N_N_N_1	X10_19N_N_N_1	X10_10N_H_N_1	X11_20N_H_N_1	X11_23N_N_N_1	X11_10N_H_N_1	X11_19N_N_N_1	X11_3N_N_N_1	X11_16N_H_N_1	X11_6N_N_N_1	X11_1N_H_N_1	X12_10N_H_N_1	X12_19N_N_N_1	X12_23N_N_N_1	X12_6N_N_N_1	X12_1N_H_N_1	X12_3N_N_N_1	X12_20N_H_N_1	X12_16N_H_N_1	X13_10N_H_N_1	X13_6N_N_N_1	X13_16N_H_N_1	X13_1N_H_N_1	X13_20N_H_N_1	X13_3N_N_N_1	X13_19N_N_N_1	X13_23N_N_N_1	X14_1N_H_N_1	X14_3N_N_N_1	X14_6N_N_N_1	X14_10N_H_N_1	X14_16N_H_N_1	X14_19N_N_N_1	X14_20N_H_N_1	X14_23N_N_N_1	X15_1N_H_N_1	X15_3N_N_N_1	X15_6N_N_N_1	X15_10N_H_N_1	X15_16N_H_N_1	X15_19N_N_N_1	X15_20N_H_N_1	X15_23N_N_N_1	X16_1N_H_N_1	X16_3N_N_N_1	X16_6N_N_N_1	X16_10N_H_N_1	X16_16N_H_N_1	X16_19N_N_N_1	X16_20N_H_N_1	X16_23N_N_N_1
X12_23N_N_N_1	0.524435575	0.598533419	0.560062474	0.606511012	0.586769215	0.558364303	0.577813583	0.572354101	0.570225249	0.588133613	0.575286141	0.583448575	0.532441114	0.543968788	0.546000089	0.553164099	0.599631116	0.528051797	0.599902094	0.474953154	0.580528171	0.574244505	0.486983828	0.515281391	0.565694335	0.599689285	0	0.614617927	0.523744841	0.546164812	0.546646335	0.507866307	0.586242458	0.628545283	0.522848007	0.542807113	0.561265845	0.590765684	0.604019772	0.527252836	0.616744662	0.602348338	0.595392319	0.654479356	0.562816605	0.539504207	0.566653387	0.483798193	0.490182919	0.535865841	0.575988137	0.594318917	0.516610455	0.634108094	0.589034869	0.536689866	0.545537305	0.589395888	0.561555732	0.533327068	0.607425956	0.583544196	0.569673407	0.593114405
X12_6N_N_N_1	0.51187557	0.486359378	0.506030914	0.524275445	0.510868374	0.422386307	0.531726595	0.467062043	0.548164805	0.569657706	0.506153869	0.563343382	0.517785174	0.48325998	0.557342105	0.418247519	0.542205144	0.532207105	0.541178195	0.492526963	0.54098554	0.519245506	0.516441434	0.428307771	0.486769372	0.503082381	0.614617927	0	0.477577616	0.592563949	0.459221311	0.443446876	0.545361043	0.588685004	0.500961778	0.486320367	0.543265447	0.500338508	0.518367945	0.471928534	0.57472181	0.52186276	0.399672643	0.653191876	0.489726407	0.413380836	0.491515169	0.522984905	0.492902618	0.503158901	0.483739287	0.506675503	0.498564776	0.546979703	0.508122487	0.441766411	0.509516348	0.546408302	0.486259949	0.528919161	0.516041145	0.519122077	0.507612074	0.548089554
X12_1N_H_N_1	0.317190073	0.445948674	0.416471396	0.447692905	0.460195316	0.421179781	0.432668436	0.364548511	0.397818278	0.432219611	0.39356152	0.473625631	0.367294287	0.364471274	0.467397271	0.370757839	0.443069537	0.530371593	0.497461337	0.493694395	0.456248146	0.504006721	0.373108793	0.40202741	0.488576736	0.400954728	0.523744841	0.477577616	0	0.414737283	0.352561221	0.392800335	0.405841954	0.414402901	0.377190678	0.356247882	0.450049033	0.374835384	0.432604921	0.36401999	0.395088582	0.453869083	0.441854659	0.506849895	0.330609623	0.440842684	0.390826386	0.373371541	0.312900167	0.376053694	0.436920394	0.390510209	0.375757634	0.416176596	0.388274279	0.316958677	0.338975268	0.418648235	0.349759257	0.340991996	0.381782542	0.448834745	0.34097006	0.378451867
X12_3N_N_N_1	0.46099335	0.492567605	0.374684037	0.48095236	0.508598192	0.495022505	0.490906468	0.463881657	0.436367189	0.478570925	0.386683806	0.399121769	0.449887219	0.481180362	0.493815808	0.441628302	0.450769317	0.545464588	0.427265285	0.567504653	0.41057763	0.568986935	0.498780995	0.432522788	0.469041275	0.420657058	0.546164812	0.592563949	0.414737283	0	0.473063635	0.542287359	0.47672139	0.363773202	0.497267609	0.469426212	0.474265424	0.464815777	0.391723429	0.484632412	0.471763977	0.373412715	0.540000454	0.511720568	0.460351955	0.507769645	0.536042448	0.525657746	0.426325407	0.480229142	0.465123283	0.443503943	0.505808659	0.486996665	0.520845467	0.498017481	0.376215301	0.531246472	0.465501167	0.396202978	0.465625496	0.535638588	0.469124684	0.397508072
X12_20N_H_N_1	0.408478475	0.516236241	0.423311912	0.506343911	0.491772715	0.424661357	0.37813417	0.415297363	0.438962122	0.533902305	0.421625203	0.48903397	0.409785345	0.414057431	0.528491463	0.388568051	0.414826441	0.487423787	0.4547459	0.487881943	0.445583967	0.509273266	0.437468327	0.375281146	0.497822291	0.465523941	0.546646335	0.459221311	0.352561221	0.473063635	0	0.512147859	0.433748492	0.436404366	0.395930373	0.457556868	0.407015463	0.444437363	0.346034313	0.279391942	0.417702992	0.460860569	0.436590179	0.507363541	0.38127306	0.344394805	0.368467069	0.368778428	0.429293994	0.486372043	0.509236174	0.386719248	0.309532543	0.422679848	0.398789657	0.343319559	0.395374683	0.484639768	0.38740097	0.416301184	0.417552388	0.411522267	0.395518513	0.430735668
X12_16N_H_N_1	0.466100746	0.557376371	0.493962212	0.478661328	0.521369506	0.418213969	0.54831505	0.494750919	0.535911424	0.543759782	0.536212604	0.575090896	0.457962263	0.498565639	0.550123004	0.466537886	0.567240552	0.511122559	0.51033321	0.392465993	0.536694123	0.492881	0.381927313	0.434938713	0.527586621	0.394931713	0.507866307	0.443446876	0.392800335	0.542287359	0.512147859	0	0.531498778	0.548528338	0.486727208	0.394749856	0.513627023	0.527118811	0.560630136	0.441174007	0.544126102	0.541320894	0.467426295	0.625447741	0.424471491	0.413659428	0.420423827	0.390622447	0.443065072	0.45508676	0.54377682	0.485938534	0.489886407	0.523824824	0.484494429	0.448816019	0.470747762	0.527811504	0.495969898	0.473261363	0.519156292	0.513676497	0.502370445	0.495907425
X13_10N_H_N_1	0.36819738	0.49006586	0.517270031	0.446279778	0.47918619	0.50770541	0.45242099	0.444651619	0.408290718	0.487723102	0.445367792	0.518345198	0.458472266	0.437985672	0.568718821	0.428892625	0.43620102	0.568125276	0.519623005	0.502628537	0.461460922	0.512038263	0.485705786	0.4881693	0.482516111	0.534239138	0.586242458	0.545361043	0.405841954	0.47672139	0.433748492	0.531498778	0	0.434719953	0.434774779	0.46424391	0.565621583	0.47955676	0.489559923	0.402615152	0.477898291	0.520268289	0.463099793	0.525328377	0.399306221	0.447055778	0.445701007	0.434472914	0.460183601	0.469780678	0.510623345	0.388842421	0.458130251	0.460783583	0.490967821	0.373434408	0.378933619	0.416204722	0.35134487	0.432935529	0.407829798	0.477315906	0.409168177	0.443687303
X13_6N_N_N_1	0.37951991	0.412821641	0.399279056	0.418283856	0.46189166	0.470759501	0.371761129	0.386802114	0.449012258	0.503474599	0.398210703	0.363355619	0.3602339	0.405618107	0.543752433	0.438821589	0.425787571	0.496995537	0.318634354	0.563593599	0.359660703	0.535019452	0.451723252	0.45024203	0.512560686	0.471369848	0.628545283	0.588685004	0.414402901	0.363773202	0.436404366	0.548528338	0.434719953	0	0.455249593	0.458648754	0.438904463	0.356023016	0.322663563	0.423916423	0.352960356	0.37047099	0.515868482	0.42391266	0.318664302	0.496524443	0.503052584	0.416855843	0.419430552	0.454039006	0.439386951	0.293183619	0.450110013	0.430111957	0.487665141	0.4147075	0.297134889	0.472819998	0.415929792	0.297133742	0.412208253	0.455816342	0.39815143	0.262246862
X13_16N_H_N_1	0.409735029	0.397123914	0.485140232	0.41873537	0.400955445	0.45613444	0.431807632	0.396598636	0.467019765	0.491836299	0.451780219	0.547383322	0.407513474	0.403830509	0.511152436	0.438042184	0.434154807	0.5377542	0.505729495	0.543257375	0.481904036	0.477598729	0.406674433	0.34405418	0.47510279	0.494653456	0.522848007	0.500961778	0.377190678	0.497267609	0.395930373	0.486727208	0.434774779	0.455249593	0	0.383274621	0.499200564	0.443303733	0.487278747	0.403509018	0.475117232	0.54519357	0.377560878	0.535074265	0.390546475	0.354674117	0.462468354	0.369805346	0.365067377	0.431943611	0.448185748	0.417062782	0.412151849	0.50055834	0.435309491	0.33089439	0.426276099	0.466396497	0.394678492	0.414485248	0.419666777	0.445807977	0.443322801	0.439168477
X13_1N_H_N_1	0.376199978	0.41789625	0.421324773	0.427993172	0.441008098	0.484372184	0.433660591	0.400434916	0.474146782	0.519291715	0.432523931	0.470546558	0.42917264	0.431472154	0.522615084	0.429270966	0.490261559	0.525371698	0.526651362	0.550875376	0.469688135	0.509968355	0.420780909	0.420993178	0.487170044	0.430479611	0.542807113	0.486320367	0.356247882	0.469426212	0.457556868	0.394749856	0.46424391	0.458648754	0.383274621	0	0.525428109	0.439573895	0.483055929	0.422920576	0.448810566	0.482210418	0.464098466	0.509303187	0.393053735	0.459982017	0.464364812	0.39610264	0.400138692	0.398427796	0.43527003	0.386808997	0.419438685	0.483470366	0.459321486	0.362284276	0.356904586	0.450696292	0.411308311	0.361851911	0.470957504	0.446242183	0.403796795	0.387993977
