	X09_3S_N_C_1	X09_1S_H_C_1	X09_23S_N_C_1	X09_10S_H_C_1	X09_19S_N_C_1	X09_20S_H_C_1	X09_6S_N_C_1	X09_16S_H_C_1	X10_6N_N_N_1	X10_23N_N_N_1	X10_16N_H_N_1	X10_1N_H_N_1	X10_20N_H_N_1	X10_3N_N_N_1	X10_19N_N_N_1	X10_10N_H_N_1	X11_20N_H_N_1	X11_23N_N_N_1	X11_10N_H_N_1	X11_19N_N_N_1	X11_3N_N_N_1	X11_16N_H_N_1	X11_6N_N_N_1	X11_1N_H_N_1	X12_10N_H_N_1	X12_19N_N_N_1	X12_23N_N_N_1	X12_6N_N_N_1	X12_1N_H_N_1	X12_3N_N_N_1	X12_20N_H_N_1	X12_16N_H_N_1	X13_10N_H_N_1	X13_6N_N_N_1	X13_16N_H_N_1	X13_1N_H_N_1	X13_20N_H_N_1	X13_3N_N_N_1	X13_19N_N_N_1	X13_23N_N_N_1	X14_1N_H_N_1	X14_3N_N_N_1	X14_6N_N_N_1	X14_10N_H_N_1	X14_16N_H_N_1	X14_19N_N_N_1	X14_20N_H_N_1	X14_23N_N_N_1	X15_1N_H_N_1	X15_3N_N_N_1	X15_6N_N_N_1	X15_10N_H_N_1	X15_16N_H_N_1	X15_19N_N_N_1	X15_20N_H_N_1	X15_23N_N_N_1	X16_1N_H_N_1	X16_3N_N_N_1	X16_6N_N_N_1	X16_10N_H_N_1	X16_16N_H_N_1	X16_19N_N_N_1	X16_20N_H_N_1	X16_23N_N_N_1
X10_16N_H_N_1	0.265625	0.373333333	0.333333333	0.4	0.275362319	0.348484848	0.276923077	0.299270073	0.367647059	0.402777778	0	0.338582677	0.313432836	0.244755245	0.44516129	0.308270677	0.333333333	0.368421053	0.359375	0.419354839	0.259259259	0.401709402	0.327586207	0.327731092	0.426470588	0.382352941	0.430894309	0.413793103	0.34375	0.308270677	0.295081967	0.423728814	0.285714286	0.338582677	0.279411765	0.317460317	0.444444444	0.347826087	0.274193548	0.293103448	0.339130435	0.333333333	0.333333333	0.315789474	0.328	0.307086614	0.338983051	0.339285714	0.358778626	0.251798561	0.350993377	0.300813008	0.362831858	0.379310345	0.389830508	0.317073171	0.322033898	0.313868613	0.26618705	0.338709677	0.348148148	0.265625	0.328244275	0.290322581
X10_1N_H_N_1	0.299145299	0.352517986	0.378640777	0.412844037	0.37007874	0.338842975	0.361344538	0.301587302	0.36	0.443609023	0.338582677	0	0.284552846	0.303030303	0.388888889	0.31147541	0.358490566	0.417475728	0.367521368	0.451327434	0.290322581	0.41509434	0.352380952	0.333333333	0.424	0.392	0.392857143	0.428571429	0.35042735	0.327868852	0.333333333	0.439252336	0.333333333	0.310344828	0.376	0.304347826	0.381443299	0.307086614	0.238938053	0.295238095	0.288461538	0.285714286	0.385826772	0.281553398	0.368421053	0.379310345	0.364485981	0.346534653	0.35	0.265625	0.314285714	0.303571429	0.352941176	0.352380952	0.457943925	0.321428571	0.271028037	0.26984127	0.296875	0.256637168	0.370967742	0.35042735	0.316666667	0.309734513
X10_20N_H_N_1	0.322580645	0.369863014	0.363636364	0.431034483	0.343283582	0.34375	0.349206349	0.338345865	0.378787879	0.4	0.313432836	0.284552846	0	0.294964029	0.40397351	0.317829457	0.362831858	0.381818182	0.338709677	0.416666667	0.328244275	0.398230088	0.285714286	0.252173913	0.409090909	0.424242424	0.411764706	0.428571429	0.338709677	0.364341085	0.322033898	0.315789474	0.338235294	0.333333333	0.318181818	0.295081967	0.403846154	0.313432836	0.283333333	0.267857143	0.315315315	0.344537815	0.388059701	0.309090909	0.256198347	0.333333333	0.385964912	0.314814815	0.322834646	0.318518519	0.360544218	0.378151261	0.357798165	0.357142857	0.368421053	0.327731092	0.333333333	0.308270677	0.333333333	0.35	0.374045802	0.35483871	0.338582677	0.266666667
X10_3N_N_N_1	0.263157895	0.290322581	0.428571429	0.376	0.384615385	0.328467153	0.318518519	0.253521127	0.319148936	0.382550336	0.244755245	0.303030303	0.294964029	0	0.425	0.246376812	0.360655738	0.394957983	0.383458647	0.441860465	0.242857143	0.459016393	0.355371901	0.338709677	0.432624113	0.404255319	0.484375	0.47107438	0.353383459	0.333333333	0.322834646	0.447154472	0.296551724	0.257575758	0.276595745	0.34351145	0.486725664	0.314685315	0.286821705	0.355371901	0.35	0.3125	0.342657343	0.327731092	0.338461538	0.333333333	0.414634146	0.35042735	0.308823529	0.208333333	0.294871795	0.296875	0.389830508	0.388429752	0.447154472	0.34375	0.333333333	0.267605634	0.263888889	0.302325581	0.342857143	0.308270677	0.323529412	0.286821705
X10_19N_N_N_1	0.489655172	0.497005988	0.496183206	0.518248175	0.470967742	0.382550336	0.482993197	0.428571429	0.450980392	0.403726708	0.44516129	0.388888889	0.40397351	0.425	0	0.4	0.462686567	0.511450382	0.462068966	0.489361702	0.447368421	0.47761194	0.458646617	0.411764706	0.503267974	0.39869281	0.5	0.533834586	0.420689655	0.44	0.438848921	0.496296296	0.452229299	0.5	0.450980392	0.468531469	0.552	0.483870968	0.404255319	0.458646617	0.454545455	0.385714286	0.44516129	0.480916031	0.436619718	0.430555556	0.496296296	0.472868217	0.432432432	0.423076923	0.44047619	0.485714286	0.461538462	0.518796992	0.481481481	0.442857143	0.466666667	0.415584416	0.397435897	0.460992908	0.473684211	0.475862069	0.432432432	0.418439716
X10_10N_H_N_1	0.268292683	0.365517241	0.394495413	0.391304348	0.368421053	0.338582677	0.312	0.333333333	0.358778626	0.395683453	0.308270677	0.31147541	0.317829457	0.246376812	0.4	0	0.339285714	0.376146789	0.382113821	0.428571429	0.307692308	0.410714286	0.315315315	0.315789474	0.389312977	0.358778626	0.457627119	0.459459459	0.365853659	0.3125	0.299145299	0.415929204	0.318518519	0.278688525	0.297709924	0.338842975	0.417475728	0.338345865	0.260504202	0.261261261	0.363636364	0.305084746	0.368421053	0.321100917	0.316666667	0.31147541	0.380530973	0.308411215	0.317460317	0.28358209	0.287671233	0.322033898	0.351851852	0.351351351	0.415929204	0.355932203	0.327433628	0.242424242	0.298507463	0.277310924	0.384615385	0.349593496	0.285714286	0.294117647
X11_20N_H_N_1	0.289719626	0.457364341	0.35483871	0.414141414	0.401709402	0.369369369	0.376146789	0.396551724	0.356521739	0.463414634	0.333333333	0.358490566	0.362831858	0.360655738	0.462686567	0.339285714	0	0.419354839	0.401869159	0.45631068	0.350877193	0.4375	0.326315789	0.346938776	0.408695652	0.373913043	0.411764706	0.389473684	0.289719626	0.321428571	0.287128713	0.381443299	0.31092437	0.339622642	0.356521739	0.314285714	0.310344828	0.367521368	0.203883495	0.242105263	0.234042553	0.274509804	0.384615385	0.268817204	0.288461538	0.301886792	0.340206186	0.318681319	0.290909091	0.338983051	0.415384615	0.333333333	0.304347826	0.368421053	0.381443299	0.352941176	0.257731959	0.344827586	0.338983051	0.359223301	0.421052632	0.364485981	0.309090909	0.339805825
X11_23N_N_N_1	0.403846154	0.492063492	0.4	0.4375	0.403508772	0.444444444	0.377358491	0.398230088	0.482142857	0.5	0.368421053	0.417475728	0.381818182	0.394957983	0.511450382	0.376146789	0.419354839	0	0.365384615	0.36	0.405405405	0.311827957	0.369565217	0.284210526	0.482142857	0.482142857	0.373737374	0.456521739	0.5	0.431192661	0.367346939	0.446808511	0.431034483	0.398058252	0.428571429	0.450980392	0.428571429	0.49122807	0.42	0.347826087	0.406593407	0.333333333	0.473684211	0.355555556	0.366336634	0.436893204	0.425531915	0.340909091	0.457943925	0.408695652	0.464566929	0.393939394	0.325842697	0.434782609	0.468085106	0.373737374	0.404255319	0.469026549	0.460869565	0.42	0.513513514	0.403846154	0.439252336	0.36
X11_10N_H_N_1	0.355932203	0.4	0.403846154	0.436363636	0.421875	0.37704918	0.383333333	0.338582677	0.46031746	0.492537313	0.359375	0.367521368	0.338709677	0.383458647	0.462068966	0.382113821	0.401869159	0.365384615	0	0.333333333	0.328	0.289719626	0.264150943	0.28440367	0.333333333	0.412698413	0.380530973	0.433962264	0.423728814	0.398373984	0.357142857	0.333333333	0.4	0.333333333	0.349206349	0.396551724	0.367346939	0.375	0.298245614	0.301886792	0.352380952	0.345132743	0.359375	0.326923077	0.304347826	0.316239316	0.388888889	0.294117647	0.438016529	0.348837209	0.432624113	0.380530973	0.359223301	0.490566038	0.481481481	0.345132743	0.351851852	0.433070866	0.410852713	0.298245614	0.456	0.423728814	0.355371901	0.333333333
X11_19N_N_N_1	0.403508772	0.485294118	0.44	0.396226415	0.467741935	0.389830508	0.431034483	0.382113821	0.459016393	0.507692308	0.419354839	0.451327434	0.416666667	0.441860465	0.489361702	0.428571429	0.45631068	0.36	0.333333333	0	0.371900826	0.300970874	0.333333333	0.352380952	0.393442623	0.409836066	0.357798165	0.450980392	0.421052632	0.445378151	0.425925926	0.346153846	0.380952381	0.380530973	0.442622951	0.428571429	0.404255319	0.467741935	0.363636364	0.333333333	0.405940594	0.339449541	0.35483871	0.34	0.369369369	0.309734513	0.346153846	0.326530612	0.487179487	0.376	0.459854015	0.431192661	0.353535354	0.509803922	0.480769231	0.339449541	0.423076923	0.447154472	0.408	0.381818182	0.438016529	0.421052632	0.401709402	0.381818182
X11_3N_N_N_1	0.28	0.292517007	0.369369369	0.367521368	0.407407407	0.302325581	0.354330709	0.298507463	0.323308271	0.432624113	0.259259259	0.290322581	0.328244275	0.242857143	0.447368421	0.307692308	0.350877193	0.405405405	0.328	0.371900826	0	0.421052632	0.327433628	0.362068966	0.383458647	0.398496241	0.433333333	0.469026549	0.376	0.292307692	0.378151261	0.426086957	0.284671533	0.274193548	0.278195489	0.284552846	0.40952381	0.274074074	0.256198347	0.309734513	0.321428571	0.283333333	0.333333333	0.261261261	0.344262295	0.322580645	0.373913043	0.302752294	0.328125	0.220588235	0.310810811	0.3	0.327272727	0.433628319	0.460869565	0.316666667	0.304347826	0.313432836	0.279411765	0.289256198	0.363636364	0.328	0.328125	0.256198347
X11_16N_H_N_1	0.364485981	0.488372093	0.419354839	0.434343434	0.418803419	0.423423423	0.449541284	0.413793103	0.47826087	0.512195122	0.401709402	0.41509434	0.398230088	0.459016393	0.47761194	0.410714286	0.4375	0.311827957	0.289719626	0.300970874	0.421052632	0	0.305263158	0.265306122	0.339130435	0.391304348	0.37254902	0.431578947	0.457943925	0.446428571	0.405940594	0.360824742	0.378151261	0.41509434	0.443478261	0.40952381	0.402298851	0.47008547	0.339805825	0.242105263	0.361702128	0.352941176	0.367521368	0.311827957	0.346153846	0.320754717	0.381443299	0.274725275	0.454545455	0.423728814	0.461538462	0.352941176	0.326086957	0.431578947	0.463917526	0.333333333	0.360824742	0.413793103	0.423728814	0.378640777	0.421052632	0.420560748	0.4	0.398058252
X11_6N_N_N_1	0.264150943	0.421875	0.326086957	0.346938776	0.344827586	0.363636364	0.333333333	0.32173913	0.385964912	0.459016393	0.327586207	0.352380952	0.285714286	0.355371901	0.458646617	0.315315315	0.326315789	0.369565217	0.264150943	0.333333333	0.327433628	0.305263158	0	0.237113402	0.385964912	0.350877193	0.346534653	0.382978723	0.339622642	0.387387387	0.36	0.270833333	0.372881356	0.295238095	0.333333333	0.307692308	0.302325581	0.310344828	0.274509804	0.234042553	0.268817204	0.267326733	0.431034483	0.260869565	0.223300971	0.295238095	0.354166667	0.177777778	0.376146789	0.264957265	0.426356589	0.326732673	0.296703297	0.404255319	0.333333333	0.247524752	0.291666667	0.356521739	0.384615385	0.274509804	0.398230088	0.320754717	0.339449541	0.235294118
X11_1N_H_N_1	0.339449541	0.435114504	0.305263158	0.405940594	0.31092437	0.327433628	0.351351351	0.355932203	0.418803419	0.424	0.327731092	0.333333333	0.252173913	0.338709677	0.411764706	0.315789474	0.346938776	0.284210526	0.28440367	0.352380952	0.362068966	0.265306122	0.237113402	0	0.367521368	0.333333333	0.365384615	0.360824742	0.357798165	0.315789474	0.281553398	0.292929293	0.355371901	0.333333333	0.299145299	0.327102804	0.348314607	0.378151261	0.314285714	0.216494845	0.291666667	0.25	0.394957983	0.263157895	0.264150943	0.296296296	0.333333333	0.268817204	0.357142857	0.35	0.409090909	0.326923077	0.276595745	0.360824742	0.333333333	0.288461538	0.333333333	0.355932203	0.4	0.352380952	0.396551724	0.357798165	0.357142857	0.314285714
X12_10N_H_N_1	0.396825397	0.5	0.464285714	0.457627119	0.455882353	0.4	0.453125	0.362962963	0.417910448	0.492957746	0.426470588	0.424	0.409090909	0.432624113	0.503267974	0.389312977	0.408695652	0.482142857	0.333333333	0.393442623	0.383458647	0.339130435	0.385964912	0.367521368	0	0.373134328	0.438016529	0.421052632	0.444444444	0.358778626	0.416666667	0.431034483	0.391304348	0.376	0.432835821	0.35483871	0.452830189	0.411764706	0.31147541	0.350877193	0.415929204	0.355371901	0.411764706	0.392857143	0.414634146	0.328	0.431034483	0.381818182	0.410852713	0.430656934	0.463087248	0.404958678	0.405405405	0.49122807	0.431034483	0.404958678	0.396551724	0.407407407	0.401459854	0.344262295	0.398496241	0.428571429	0.441860465	0.442622951
X12_19N_N_N_1	0.380952381	0.432432432	0.464285714	0.423728814	0.382352941	0.353846154	0.390625	0.348148148	0.402985075	0.408450704	0.382352941	0.392	0.424242424	0.404255319	0.39869281	0.358778626	0.373913043	0.482142857	0.412698413	0.409836066	0.398496241	0.391304348	0.350877193	0.333333333	0.373134328	0	0.47107438	0.438596491	0.349206349	0.312977099	0.316666667	0.379310345	0.420289855	0.376	0.402985075	0.370967742	0.396226415	0.367647059	0.344262295	0.315789474	0.327433628	0.289256198	0.382352941	0.357142857	0.365853659	0.296	0.379310345	0.363636364	0.379844961	0.386861314	0.422818792	0.371900826	0.423423423	0.403508772	0.396551724	0.355371901	0.327586207	0.377777778	0.386861314	0.344262295	0.353383459	0.380952381	0.348837209	0.393442623
X12_23N_N_N_1	0.433628319	0.481481481	0.393939394	0.485714286	0.463414634	0.452991453	0.443478261	0.409836066	0.504132231	0.565891473	0.430894309	0.392857143	0.411764706	0.484375	0.5	0.457627119	0.411764706	0.373737374	0.380530973	0.357798165	0.433333333	0.37254902	0.346534653	0.365384615	0.438016529	0.47107438	0	0.445544554	0.469026549	0.457627119	0.439252336	0.378640777	0.456	0.464285714	0.438016529	0.405405405	0.376344086	0.463414634	0.376146789	0.346534653	0.42	0.388888889	0.495934959	0.373737374	0.4	0.428571429	0.436893204	0.319587629	0.448275862	0.451612903	0.514705882	0.462962963	0.367346939	0.504950495	0.514563107	0.351851852	0.436893204	0.491803279	0.483870968	0.412844037	0.516666667	0.469026549	0.448275862	0.394495413
X12_6N_N_N_1	0.433962264	0.53125	0.391304348	0.510204082	0.517241379	0.381818182	0.481481481	0.426086957	0.49122807	0.540983607	0.413793103	0.428571429	0.428571429	0.47107438	0.533834586	0.459459459	0.389473684	0.456521739	0.433962264	0.450980392	0.469026549	0.431578947	0.382978723	0.360824742	0.421052632	0.438596491	0.445544554	0	0.433962264	0.495495495	0.4	0.354166667	0.491525424	0.485714286	0.49122807	0.403846154	0.372093023	0.465517241	0.37254902	0.382978723	0.35483871	0.366336634	0.448275862	0.369565217	0.436893204	0.39047619	0.416666667	0.4	0.412844037	0.47008547	0.488372093	0.445544554	0.428571429	0.468085106	0.416666667	0.346534653	0.416666667	0.460869565	0.452991453	0.490196078	0.486725664	0.471698113	0.486238532	0.431372549
X12_1N_H_N_1	0.355932203	0.442857143	0.403846154	0.436363636	0.453125	0.360655738	0.366666667	0.37007874	0.380952381	0.388059701	0.34375	0.35042735	0.338709677	0.353383459	0.420689655	0.365853659	0.289719626	0.5	0.423728814	0.421052632	0.376	0.457943925	0.339622642	0.357798165	0.444444444	0.349206349	0.469026549	0.433962264	0	0.317073171	0.321428571	0.314814815	0.353846154	0.35042735	0.349206349	0.327586207	0.346938776	0.28125	0.263157895	0.339622642	0.257142857	0.309734513	0.390625	0.326923077	0.32173913	0.35042735	0.314814815	0.37254902	0.338842975	0.333333333	0.375886525	0.380530973	0.359223301	0.396226415	0.388888889	0.362831858	0.333333333	0.338582677	0.317829457	0.368421053	0.376	0.406779661	0.32231405	0.350877193
X12_3N_N_N_1	0.349593496	0.393103448	0.357798165	0.408695652	0.383458647	0.385826772	0.344	0.363636364	0.34351145	0.410071942	0.308270677	0.327868852	0.364341085	0.333333333	0.44	0.3125	0.321428571	0.431192661	0.398373984	0.445378151	0.292307692	0.446428571	0.387387387	0.315789474	0.358778626	0.312977099	0.457627119	0.495495495	0.317073171	0	0.282051282	0.451327434	0.333333333	0.327868852	0.328244275	0.32231405	0.417475728	0.323308271	0.294117647	0.315315315	0.345454545	0.305084746	0.413533835	0.321100917	0.366666667	0.344262295	0.345132743	0.38317757	0.365079365	0.343283582	0.356164384	0.338983051	0.388888889	0.405405405	0.451327434	0.423728814	0.345132743	0.333333333	0.328358209	0.361344538	0.415384615	0.349593496	0.301587302	0.344537815
X12_20N_H_N_1	0.339285714	0.432835821	0.367346939	0.423076923	0.37704918	0.344827586	0.263157895	0.338842975	0.333333333	0.40625	0.295081967	0.333333333	0.322033898	0.322834646	0.438848921	0.299145299	0.287128713	0.367346939	0.357142857	0.425925926	0.378151261	0.405940594	0.36	0.281553398	0.416666667	0.316666667	0.439252336	0.4	0.321428571	0.282051282	0	0.411764706	0.338709677	0.315315315	0.316666667	0.363636364	0.369565217	0.344262295	0.259259259	0.26	0.292929293	0.308411215	0.360655738	0.285714286	0.302752294	0.279279279	0.333333333	0.333333333	0.373913043	0.382113821	0.392592593	0.289719626	0.319587629	0.28	0.37254902	0.308411215	0.333333333	0.32231405	0.333333333	0.333333333	0.378151261	0.321428571	0.286956522	0.333333333
X12_16N_H_N_1	0.388888889	0.492307692	0.361702128	0.42	0.406779661	0.357142857	0.472727273	0.418803419	0.465517241	0.5	0.423728814	0.439252336	0.315789474	0.447154472	0.496296296	0.415929204	0.381443299	0.446808511	0.333333333	0.346153846	0.426086957	0.360824742	0.270833333	0.292929293	0.431034483	0.379310345	0.378640777	0.354166667	0.314814815	0.451327434	0.411764706	0	0.466666667	0.420560748	0.379310345	0.358490566	0.318181818	0.423728814	0.365384615	0.291666667	0.326315789	0.359223301	0.406779661	0.361702128	0.314285714	0.308411215	0.326530612	0.260869565	0.423423423	0.411764706	0.496183206	0.45631068	0.376344086	0.4375	0.408163265	0.378640777	0.387755102	0.418803419	0.428571429	0.403846154	0.47826087	0.425925926	0.423423423	0.346153846
X13_10N_H_N_1	0.292307692	0.368421053	0.413793103	0.360655738	0.385714286	0.388059701	0.333333333	0.323741007	0.333333333	0.397260274	0.285714286	0.333333333	0.338235294	0.296551724	0.452229299	0.318518519	0.31092437	0.431034483	0.4	0.380952381	0.284671533	0.378151261	0.372881356	0.355371901	0.391304348	0.420289855	0.456	0.491525424	0.353846154	0.333333333	0.338709677	0.466666667	0	0.286821705	0.347826087	0.359375	0.490909091	0.357142857	0.285714286	0.305084746	0.333333333	0.312	0.328571429	0.310344828	0.322834646	0.333333333	0.366666667	0.368421053	0.353383459	0.319148936	0.333333333	0.312	0.339130435	0.355932203	0.433333333	0.328	0.35	0.338129496	0.290780142	0.349206349	0.328467153	0.323076923	0.323308271	0.333333333
X13_6N_N_N_1	0.282051282	0.294964029	0.398058252	0.321100917	0.338582677	0.355371901	0.277310924	0.285714286	0.36	0.428571429	0.338582677	0.310344828	0.333333333	0.257575758	0.5	0.278688525	0.339622642	0.398058252	0.333333333	0.380530973	0.274193548	0.41509434	0.295238095	0.333333333	0.376	0.376	0.464285714	0.485714286	0.35042735	0.327868852	0.315315315	0.420560748	0.286821705	0	0.296	0.339130435	0.422680412	0.275590551	0.274336283	0.314285714	0.307692308	0.285714286	0.354330709	0.262135922	0.245614035	0.327586207	0.364485981	0.326732673	0.333333333	0.28125	0.285714286	0.25	0.352941176	0.352380952	0.401869159	0.285714286	0.289719626	0.301587302	0.3125	0.238938053	0.370967742	0.299145299	0.316666667	0.256637168
X13_16N_H_N_1	0.317460317	0.324324324	0.375	0.355932203	0.308823529	0.338461538	0.296875	0.303703704	0.373134328	0.394366197	0.279411765	0.376	0.318181818	0.276595745	0.450980392	0.297709924	0.356521739	0.428571429	0.349206349	0.442622951	0.278195489	0.443478261	0.333333333	0.299145299	0.432835821	0.402985075	0.438016529	0.49122807	0.349206349	0.328244275	0.316666667	0.379310345	0.347826087	0.296	0	0.35483871	0.433962264	0.323529412	0.31147541	0.333333333	0.362831858	0.338842975	0.338235294	0.321428571	0.300813008	0.312	0.379310345	0.272727273	0.333333333	0.313868613	0.355704698	0.338842975	0.369369369	0.385964912	0.396551724	0.289256198	0.327586207	0.303703704	0.284671533	0.31147541	0.338345865	0.317460317	0.317829457	0.295081967
X13_1N_H_N_1	0.293103448	0.376811594	0.294117647	0.37037037	0.396825397	0.35	0.322033898	0.344	0.403225806	0.515151515	0.317460317	0.304347826	0.295081967	0.34351145	0.468531469	0.338842975	0.314285714	0.450980392	0.396551724	0.428571429	0.284552846	0.40952381	0.307692308	0.327102804	0.35483871	0.370967742	0.405405405	0.403846154	0.327586207	0.32231405	0.363636364	0.358490566	0.359375	0.339130435	0.35483871	0	0.375	0.317460317	0.232142857	0.288461538	0.281553398	0.261261261	0.444444444	0.235294118	0.345132743	0.356521739	0.358490566	0.3	0.327731092	0.307086614	0.366906475	0.297297297	0.287128713	0.403846154	0.377358491	0.297297297	0.264150943	0.296	0.354330709	0.321428571	0.398373984	0.362068966	0.344537815	0.303571429
X13_20N_H_N_1	0.387755102	0.516666667	0.380952381	0.466666667	0.481481481	0.392156863	0.46	0.476635514	0.433962264	0.50877193	0.444444444	0.381443299	0.403846154	0.486725664	0.552	0.417475728	0.310344828	0.428571429	0.367346939	0.404255319	0.40952381	0.402298851	0.302325581	0.348314607	0.452830189	0.396226415	0.376344086	0.372093023	0.346938776	0.417475728	0.369565217	0.318181818	0.490909091	0.422680412	0.433962264	0.375	0	0.388888889	0.361702128	0.279069767	0.247058824	0.333333333	0.481481481	0.333333333	0.326315789	0.360824742	0.295454545	0.268292683	0.405940594	0.449541284	0.504132231	0.419354839	0.325301205	0.441860465	0.340909091	0.35483871	0.318181818	0.439252336	0.431192661	0.404255319	0.447619048	0.428571429	0.405940594	0.340425532
X13_3N_N_N_1	0.296875	0.32	0.421052632	0.416666667	0.420289855	0.378787879	0.307692308	0.284671533	0.352941176	0.402777778	0.347826087	0.307086614	0.313432836	0.314685315	0.483870968	0.338345865	0.367521368	0.49122807	0.375	0.467741935	0.274074074	0.47008547	0.310344828	0.378151261	0.411764706	0.367647059	0.463414634	0.465517241	0.28125	0.323308271	0.344262295	0.423728814	0.357142857	0.275590551	0.323529412	0.317460317	0.388888889	0	0.274193548	0.362068966	0.286956522	0.349593496	0.405797101	0.315789474	0.312	0.354330709	0.406779661	0.357142857	0.374045802	0.294964029	0.337748344	0.317073171	0.398230088	0.413793103	0.406779661	0.365853659	0.338983051	0.299270073	0.323741007	0.290322581	0.392592593	0.328125	0.297709924	0.35483871
X13_19N_N_N_1	0.263157895	0.367647059	0.34	0.339622642	0.387096774	0.288135593	0.293103448	0.284552846	0.344262295	0.446153846	0.274193548	0.238938053	0.283333333	0.286821705	0.404255319	0.260504202	0.203883495	0.42	0.298245614	0.363636364	0.256198347	0.339805825	0.274509804	0.314285714	0.31147541	0.344262295	0.376146789	0.37254902	0.263157895	0.294117647	0.259259259	0.365384615	0.285714286	0.274336283	0.31147541	0.232142857	0.361702128	0.274193548	0	0.215686275	0.247524752	0.19266055	0.322580645	0.2	0.279279279	0.256637168	0.307692308	0.306122449	0.264957265	0.248	0.299270073	0.266055046	0.292929293	0.37254902	0.346153846	0.302752294	0.230769231	0.284552846	0.264	0.254545455	0.338842975	0.315789474	0.282051282	0.309090909
X13_23N_N_N_1	0.245283019	0.4375	0.326086957	0.367346939	0.344827586	0.363636364	0.388888889	0.373913043	0.385964912	0.491803279	0.293103448	0.295238095	0.267857143	0.355371901	0.458646617	0.261261261	0.242105263	0.347826087	0.301886792	0.333333333	0.309734513	0.242105263	0.234042553	0.216494845	0.350877193	0.315789474	0.346534653	0.382978723	0.339622642	0.315315315	0.26	0.291666667	0.305084746	0.314285714	0.333333333	0.288461538	0.279069767	0.362068966	0.215686275	0	0.204301075	0.247524752	0.327586207	0.195652174	0.223300971	0.219047619	0.270833333	0.222222222	0.28440367	0.333333333	0.379844961	0.306930693	0.208791209	0.340425532	0.3125	0.287128713	0.208333333	0.32173913	0.333333333	0.274509804	0.362831858	0.339622642	0.28440367	0.274509804
X14_1N_H_N_1	0.257142857	0.401574803	0.318681319	0.360824742	0.408695652	0.394495413	0.364485981	0.333333333	0.345132743	0.438016529	0.339130435	0.288461538	0.315315315	0.35	0.454545455	0.363636364	0.234042553	0.406593407	0.352380952	0.405940594	0.321428571	0.361702128	0.268817204	0.291666667	0.415929204	0.327433628	0.42	0.35483871	0.257142857	0.345454545	0.292929293	0.326315789	0.333333333	0.307692308	0.362831858	0.281553398	0.247058824	0.286956522	0.247524752	0.204301075	0	0.22	0.356521739	0.186813187	0.215686275	0.326923077	0.326315789	0.235955056	0.259259259	0.327586207	0.359375	0.28	0.244444444	0.333333333	0.305263158	0.28	0.157894737	0.280701754	0.310344828	0.287128713	0.357142857	0.352380952	0.296296296	0.247524752
X14_3N_N_N_1	0.309734513	0.407407407	0.353535354	0.333333333	0.382113821	0.316239316	0.339130435	0.327868852	0.421487603	0.472868217	0.333333333	0.285714286	0.344537815	0.3125	0.385714286	0.305084746	0.274509804	0.333333333	0.345132743	0.339449541	0.283333333	0.352941176	0.267326733	0.25	0.355371901	0.289256198	0.388888889	0.366336634	0.309734513	0.305084746	0.308411215	0.359223301	0.312	0.285714286	0.338842975	0.261261261	0.333333333	0.349593496	0.19266055	0.247524752	0.22	0	0.365853659	0.212121212	0.290909091	0.321428571	0.359223301	0.257731959	0.275862069	0.274193548	0.338235294	0.314814815	0.244897959	0.386138614	0.359223301	0.259259259	0.242718447	0.31147541	0.338709677	0.321100917	0.333333333	0.345132743	0.327586207	0.28440367
X14_6N_N_N_1	0.34375	0.4	0.49122807	0.433333333	0.405797101	0.363636364	0.446153846	0.357664234	0.367647059	0.444444444	0.333333333	0.385826772	0.388059701	0.342657343	0.44516129	0.368421053	0.384615385	0.473684211	0.359375	0.35483871	0.333333333	0.367521368	0.431034483	0.394957983	0.411764706	0.382352941	0.495934959	0.448275862	0.390625	0.413533835	0.360655738	0.406779661	0.328571429	0.354330709	0.338235294	0.444444444	0.481481481	0.405797101	0.322580645	0.327586207	0.356521739	0.365853659	0	0.368421053	0.376	0.307086614	0.389830508	0.375	0.358778626	0.309352518	0.40397351	0.382113821	0.433628319	0.413793103	0.474576271	0.398373984	0.389830508	0.386861314	0.251798561	0.35483871	0.377777778	0.375	0.34351145	0.387096774
X14_10N_H_N_1	0.269230769	0.365079365	0.288888889	0.291666667	0.403508772	0.37037037	0.339622642	0.309734513	0.339285714	0.483333333	0.315789474	0.281553398	0.309090909	0.327731092	0.480916031	0.321100917	0.268817204	0.355555556	0.326923077	0.34	0.261261261	0.311827957	0.260869565	0.263157895	0.392857143	0.357142857	0.373737374	0.369565217	0.326923077	0.321100917	0.285714286	0.361702128	0.310344828	0.262135922	0.321428571	0.235294118	0.333333333	0.315789474	0.2	0.195652174	0.186813187	0.212121212	0.368421053	0	0.207920792	0.281553398	0.276595745	0.204545455	0.289719626	0.304347826	0.338582677	0.232323232	0.235955056	0.347826087	0.340425532	0.252525253	0.234042553	0.274336283	0.304347826	0.26	0.369369369	0.346153846	0.252336449	0.24
