ID	Domain	Phylum	Class	Order	Family	Genus
OTU229	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU25	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU2729	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU2989	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU333	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU3604	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU3713	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU372	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU4344	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU478	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU546	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU56	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU6013	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU6245	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU6567	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU6582	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU664	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU7047	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU75	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU7542	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU7976	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU802	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU81	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU827	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU9275	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU9407	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU9429	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU9508	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU9647	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU997	Archaea	Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota	unclassified_Euryarchaeota
OTU10089	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU10136	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU10570	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU11058	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU11127	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU11523	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU1269	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU1825	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU1866	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU1870	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2012	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2117	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2257	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2327	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2499	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2602	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2644	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2695	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2721	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2784	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2916	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU2948	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU3328	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU3347	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU3444	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU3510	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU3648	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
